SampleID,Mineral,Lithology,Geological_EnvironmentID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0012,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0013,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0014,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0015,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0016,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0017,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0018,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0019,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.002,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0021,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0022,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0023,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0024,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0025,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0026,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0027,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0028,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0029,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.003,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0031,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0032,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0033,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0034,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0035,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0036,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0037,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0038,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0039,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.004,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0041,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0042,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0043,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0044,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0045,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0046,goethite,"sandstones, mudstones, heterolithic deposits and conglomerates",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
