SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
16.0031,PR0717,21.11,0.07,19.85,0.21,3.43,,1.80,,0.94,25.77,,,,,,,,,,,,,,,,,,,,,,,,
16.0032,PR0717,20.21,0.07,21.24,0.21,3.36,,2.05,,1.05,25.20,,,,,,,,,,,,,,,,,,,,,,,,
16.0033,PR0717,18.51,0.07,28.92,0.23,2.63,,2.31,,1.56,25.31,,,,,,,,,,,,,,,,,,,,,,,,
16.0034,PR0717,23.57,0.08,63.81,0.41,4.03,,5.22,,2.71,38.57,,,,,,,,,,,,,,,,,,,,,,,,
16.0035,PR0717int,18.58,0.07,28.52,0.28,3.28,,3.54,,1.53,25.28,,,,,,,,,,,,,,,,,,,,,,,,
16.0036,PR0717int,26.30,0.09,45.38,0.34,4.57,,4.87,,1.73,36.96,,,,,,,,,,,,,,,,,,,,,,,,
16.0037,PR0717int2,17.47,0.06,25.81,0.27,2.99,,3.58,,1.48,23.54,,,,,,,,,,,,,,,,,,,,,,,,
16.0038,PR0717int2,14.32,0.06,25.54,0.27,2.79,,3.16,,1.78,20.32,,,,,,,,,,,,,,,,,,,,,,,,
16.0039,PR0717int,11.12,0.05,24.61,0.25,2.84,,2.94,,2.21,16.90,,,,,,,,,,,,,,,,,,,,,,,,
16.004,PR0717int,10.46,0.08,13.00,0.18,2.94,,2.34,,1.24,13.52,,,,,,,,,,,,,,,,,,,,,,,,
16.0041,PR0717-z.mosq,37.95,0.13,52.60,0.47,2.14,,4.67,,1.39,50.31,,,,,,,,,,,,,,,,,,,,,,,,
16.0042,PR0717-z.mosq,43.96,0.15,78.11,0.52,2.47,,4.79,,1.78,62.32,,,,,,,,,,,,,,,,,,,,,,,,
16.0043,PR0604,32.68,0.11,34.97,0.35,2.72,,3.78,,1.07,40.90,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0001,PR0709B_1,0.48,0.01,0.14,0.01,7.37,,0.004,0.000,0.29,0.51,,,,,,,,,,,,,,,,,,,,,,,,
17.0002,PR0709B_2,0.53,0.02,0.15,0.02,8.52,,0.005,0.000,0.28,0.56,,,,,,,,,,,,,,,,,,,,,,,,
17.0003,PR0709B_3,0.96,0.04,1.08,0.06,6.51,,0.010,0.000,1.13,1.22,,,,,,,,,,,,,,,,,,,,,,,,
17.0004,PR0709supdir1_1,1.10,0.04,1.56,0.06,1.91,,0.013,0.001,1.42,1.47,,,,,,,,,,,,,,,,,,,,,,,,
17.0005,PR0709supdir1_2,2.20,0.08,2.76,0.13,1.00,,0.032,0.001,1.26,2.85,,,,,,,,,,,,,,,,,,,,,,,,
17.0006,PR0709supdir1_3,0.77,0.03,0.98,0.05,0.71,,0.006,0.001,1.28,1.00,,,,,,,,,,,,,,,,,,,,,,,,
17.0007,PR0709supdir2_1,1.66,0.05,5.96,0.13,4.16,,0.028,0.001,3.60,3.06,,,,,,,,,,,,,,,,,,,,,,,,
17.0008,PR0709supdir2_2,0.85,0.03,1.11,0.06,1.88,,0.006,0.001,1.31,1.11,,,,,,,,,,,,,,,,,,,,,,,,
17.0009,PR0709supdir2_3,1.48,0.04,2.51,0.06,3.78,,0.010,0.001,1.69,2.07,,,,,,,,,,,,,,,,,,,,,,,,
17.001,PR0709supmed1_1,0.72,0.03,1.59,0.06,1.71,,0.006,0.001,2.22,1.09,,,,,,,,,,,,,,,,,,,,,,,,
17.0011,PR0709supmed1_2,1.34,0.05,9.08,0.18,2.50,,0.017,0.001,6.80,3.47,,,,,,,,,,,,,,,,,,,,,,,,
17.0012,PR070supmed1_3,0.81,0.03,0.76,0.04,1.97,,0.005,0.001,0.95,0.99,,,,,,,,,,,,,,,,,,,,,,,,
17.0013,PR0709supmed2_1,1.82,0.04,2.09,0.06,2.29,,0.012,0.001,1.15,2.31,,,,,,,,,,,,,,,,,,,,,,,,
17.0014,PR0709supmed2_2,1.39,0.04,5.35,0.10,2.73,,0.016,0.001,3.84,2.65,,,,,,,,,,,,,,,,,,,,,,,,
17.0015,PR0709supmed2_3,1.16,0.04,3.08,0.09,2.44,,0.012,0.001,2.65,1.88,,,,,,,,,,,,,,,,,,,,,,,,
