SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
30.019,BWG21_B1,0.30,,3.66,,0.00,,0.07,,12.20,1.16,,,,,,,,,,,,,,,,,,,,,,,,
30.0191,BWG21_B2,0.22,,1.71,,0.00,,0.05,,7.77,0.62,,,,,,,,,,,,,,,,,,,,,,,,
30.0192,BWG21_B3,0.28,,4.48,,0.00,,0.07,,16.00,1.33,,,,,,,,,,,,,,,,,,,,,,,,
30.0193,BWG21_B4,0.31,,2.58,,0.10,,0.07,,8.32,0.92,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0001,18FAR02AA-1,8.60,,0.90,,,,,,0.10,8.81,,,,,,,,,77242,1159,,,,,,,,,,,,,,
31.0002,18FAR02AA-2,7.90,,0.30,,,,,,0.04,7.97,,,,,,,,,71171,1068,,,,,,,,,,,,,,
31.0003,18FAR02AA-3,8.40,,0.30,,,,,,0.04,8.47,,,,,,,,,71783,1077,,,,,,,,,,,,,,
31.0004,18FAR02AB-1,10.40,,0.30,,,,,,0.03,10.47,,,,,,,,,117195,1758,,,,,,,,,,,,,,
31.0005,18FAR02AB-2,12.80,,0.40,,,,,,0.03,12.89,,,,,,,,,138036,2071,,,,,,,,,,,,,,
31.0006,18FAR02AB-3,12.80,,0.40,,,,,,0.03,12.89,,,,,,,,,139125,2087,,,,,,,,,,,,,,
31.0007,18FAR02AC-1,13.00,,0.20,,,,,,0.02,13.05,,,,,,,,,146249,2194,,,,,,,,,,,,,,
31.0008,18FAR02AC-2,13.90,,0.30,,,,,,0.02,13.97,,,,,,,,,154243,2314,,,,,,,,,,,,,,
31.0009,18FAR02AC-3,12.40,,0.80,,,,,,0.06,12.59,,,,,,,,,142102,2132,,,,,,,,,,,,,,
31.001,18TIF01A-1,5.50,,2.40,,,,,,0.44,6.06,,,,,,,,,57241,859,,,,,,,,,,,,,,
31.0011,18TIF01A-2,7.30,,1.20,,,,,,0.16,7.58,,,,,,,,,73814,1107,,,,,,,,,,,,,,
31.0012,18TIF01A-3,5.50,,0.10,,,,,,0.02,5.52,,,,,,,,,58542,878,,,,,,,,,,,,,,
31.0013,18TIF01B-2,10.20,,0.40,,,,,,0.04,10.29,,,,,,,,,104327,1565,,,,,,,,,,,,,,
31.0014,18TIF01C-1,8.20,,0.10,,,,,,0.01,8.22,,,,,,,,,89457,1342,,,,,,,,,,,,,,
31.0015,18TIF01C-2,8.90,,0.40,,,,,,0.04,8.99,,,,,,,,,98022,1470,,,,,,,,,,,,,,
31.0016,18TIF01C-3,8.00,,0.50,,,,,,0.06,8.12,,,,,,,,,90334,1355,,,,,,,,,,,,,,
31.0017,18PL07A-1,11.60,,0.20,,,,,,0.02,11.65,,,,,,,,,121972,1830,,,,,,,,,,,,,,
31.0018,18PL07A-2,11.70,,0.00,,,,,,0.00,11.70,,,,,,,,,116948,1754,,,,,,,,,,,,,,
31.0019,18PL07A-3,11.70,,0.10,,,,,,0.01,11.72,,,,,,,,,117972,1770,,,,,,,,,,,,,,
31.002,18PL07B-1,10.60,,0.30,,,,,,0.03,10.67,,,,,,,,,102228,1533,,,,,,,,,,,,,,
31.0021,18PL07B-2,11.00,,0.10,,,,,,0.01,11.02,,,,,,,,,113365,1700,,,,,,,,,,,,,,
31.0022,18PL07B-3,11.80,,0.40,,,,,,0.03,11.89,,,,,,,,,119433,1792,,,,,,,,,,,,,,
31.0023,18PL07C-1,9.50,,0.10,,,,,,0.01,9.52,,,,,,,,,98375,1476,,,,,,,,,,,,,,
31.0024,18PL07C-2,9.90,,0.20,,,,,,0.02,9.95,,,,,,,,,99862,1498,,,,,,,,,,,,,,
31.0025,18PL07C-3,10.10,,0.20,,,,,,0.02,10.15,,,,,,,,,103500,1552,,,,,,,,,,,,,,
31.0026,18PL07D-1,10.90,,0.10,,,,,,0.01,10.92,,,,,,,,,107668,1615,,,,,,,,,,,,,,
31.0027,18PL07D-3,10.60,,0.20,,,,,,0.02,10.65,,,,,,,,,102702,1541,,,,,,,,,,,,,,
31.0028,18PL07E-1,9.90,,0.30,,,,,,0.03,9.97,,,,,,,,,102464,1537,,,,,,,,,,,,,,
31.0029,18PL07E-2,10.60,,0.10,,,,,,0.01,10.62,,,,,,,,,105215,1578,,,,,,,,,,,,,,
31.003,18PL07E-3,10.50,,0.30,,,,,,0.03,10.57,,,,,,,,,103594,1554,,,,,,,,,,,,,,
31.0031,18PL07F-1,10.00,,0.20,,,,,,0.02,10.05,,,,,,,,,104809,1572,,,,,,,,,,,,,,
31.0032,18PL07F-2,9.90,,0.10,,,,,,0.01,9.92,,,,,,,,,103881,1558,,,,,,,,,,,,,,
31.0033,18PL07F-3,11.00,,0.50,,,,,,0.05,11.12,,,,,,,,,111496,1672,,,,,,,,,,,,,,
31.0034,18FAR02-1,7.60,,0.30,,,,,,0.04,7.67,,,,,,,,,59111,887,,,,,,,,,,,,,,
31.0035,18FAR02-2,3.90,,0.20,,,,,,0.05,3.95,,,,,,,,,28999,435,,,,,,,,,,,,,,
31.0036,18FAR02-3,4.90,,1.90,,,,,,0.39,5.35,,,,,,,,,36377,546,,,,,,,,,,,,,,
31.0037,18FAR02-4,5.50,,0.30,,,,,,0.05,5.57,,,,,,,,,44849,673,,,,,,,,,,,,,,
31.0038,18FAR02-5,13.70,,0.60,,,,,,0.04,13.84,,,,,,,,,104466,1567,,,,,,,,,,,,,,
31.0039,18TIF20-1,20.50,,0.90,,,,,,0.04,20.71,,,,,,,,,116751,1751,,,,,,,,,,,,,,
31.004,18TIF20-2,21.10,,0.10,,,,,,0.00,21.12,,,,,,,,,135938,2039,,,,,,,,,,,,,,
31.0041,18TIF20-3,16.60,,0.60,,,,,,0.04,16.74,,,,,,,,,126592,1899,,,,,,,,,,,,,,
31.0042,18TIF20-4,21.80,,0.20,,,,,,0.01,21.85,,,,,,,,,148619,2229,,,,,,,,,,,,,,
31.0043,18TIF20-5,23.40,,5.40,,,,,,0.23,24.67,,,,,,,,,174474,2617,,,,,,,,,,,,,,
31.0044,18PL25-1,3.20,,0.90,,,,,,0.28,3.41,,,,,,,,,23254,349,,,,,,,,,,,,,,
31.0045,18PL25-2,2.20,,0.20,,,,,,0.09,2.25,,,,,,,,,18337,275,,,,,,,,,,,,,,
31.0046,18PL25-3,3.10,,1.10,,,,,,0.35,3.36,,,,,,,,,26102,392,,,,,,,,,,,,,,
31.0047,18PL25-5,1.30,,0.10,,,,,,0.08,1.32,,,,,,,,,12584,189,,,,,,,,,,,,,,
31.0048,15PL02-1,6.50,,0.00,,,,,,0.00,6.50,,,,,,,,,52666,790,,,,,,,,,,,,,,
31.0049,15PL02-2,6.20,,0.10,,,,,,0.02,6.22,,,,,,,,,58665,880,,,,,,,,,,,,,,
31.005,15PL02-3,7.30,,0.00,,,,,,0.00,7.30,,,,,,,,,63228,948,,,,,,,,,,,,,,
31.0051,15PL02-4,8.20,,0.00,,,,,,0.00,8.20,,,,,,,,,79100,1186,,,,,,,,,,,,,,
31.0052,18PL02B-2,13.00,,0.00,,,,,,0.00,13.00,,,,,,,,,128669,1930,,,,,,,,,,,,,,
31.0053,18PL02B-3,11.10,,0.20,,,,,,0.02,11.15,,,,,,,,,108154,1622,,,,,,,,,,,,,,
31.0054,18PL02B-4,10.70,,1.70,,,,,,0.16,11.10,,,,,,,,,110419,1656,,,,,,,,,,,,,,
31.0055,18PL02B-5,11.20,,4.40,,,,,,0.39,12.23,,,,,,,,,110999,1665,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0001,Cortex,9.70,,58.30,,1.70,,1.55,,6.01,23.40,,,,,,,,,,,,,,,,,,,,,,,,
32.0002,Cortex,10.70,,70.90,,3.10,,1.68,,6.63,27.36,,,,,,,,,,,,,,,,,,,,,,,,
32.0003,Cortex,10.40,,63.20,,2.10,,1.48,,6.08,25.25,,,,,,,,,,,,,,,,,,,,,,,,
32.0004,Cortex,12.20,,73.40,,2.30,,1.79,,6.02,29.45,,,,,,,,,,,,,,,,,,,,,,,,
32.0005,Cortex,3.30,,16.20,,0.60,,0.44,,4.91,7.11,,,,,,,,,,,,,,,,,,,,,,,,
32.0006,Cortex,12.20,,64.90,,1.80,,1.42,,5.32,27.45,,,,,,,,,,,,,,,,,,,,,,,,
32.0007,Cortex,10.40,,61.40,,1.70,,1.77,,5.90,24.83,,,,,,,,,,,,,,,,,,,,,,,,
32.0008,Cortex,10.40,,61.40,,1.70,,1.77,,5.90,24.83,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0001,RP1-3c.A,4.58,0.13,50.59,1.29,8.30,0.79,0.95,0.02,11.05,16.47,,,,,,,,,,,,,,,,,,,,,,,,
33.0002,RP1-3c.A,4.87,0.23,55.02,2.67,7.60,0.92,0.99,0.01,11.30,17.80,,,,,,,,,,,,,,,,,,,,,,,,
33.0003,RP1-3c.A,5.00,0.10,42.19,0.85,6.24,0.42,0.88,0.03,8.44,14.91,,,,,,,,,,,,,,,,,,,,,,,,
33.0004,RP1-3c.T2,1.14,0.06,23.20,1.10,1.56,0.20,0.55,0.01,20.35,6.59,,,,,,,,,,,,,,,,,,,,,,,,
33.0005,RP1-3c.T2,,,459.83,15.73,69.02,5.14,9.74,0.14,,108.06,,,,,,,,,,,,,,,,,,,,,,,,
33.0006,RP1-3c.T2,5.33,0.13,51.30,1.29,5.77,0.40,0.94,0.02,9.62,17.39,,,,,,,,,,,,,,,,,,,,,,,,
33.0007,RP3b,0.29,0.01,8.75,0.25,0.07,0.03,0.01,0.00,30.17,2.35,,,,,,,,,,,,,,,,,,,,,,,,
33.0008,RP3b,0.45,0.02,10.29,0.25,0.10,0.02,0.04,0.00,22.87,2.87,,,,,,,,,,,,,,,,,,,,,,,,
33.0009,RP3b,0.81,0.03,21.49,0.91,0.23,0.09,0.12,0.00,26.53,5.86,,,,,,,,,,,,,,,,,,,,,,,,
33.001,RP3b,1.45,0.03,38.02,0.91,0.57,0.06,0.28,0.01,26.22,10.38,,,,,,,,,,,,,,,,,,,,,,,,
33.0011,RP3b,1.14,0.06,23.20,1.10,1.56,0.20,0.20,0.00,20.35,6.59,,,,,,,,,,,,,,,,,,,,,,,,
33.0012,RP3b,0.87,0.04,22.32,0.95,1.67,0.18,0.19,0.00,25.66,6.12,,,,,,,,,,,,,,,,,,,,,,,,
33.0013,RP3a,5.04,0.16,43.59,1.40,3.11,0.46,0.59,0.01,8.65,15.28,,,,,,,,,,,,,,,,,,,,,,,,
33.0014,RP3a,5.10,0.18,29.74,1.01,2.36,0.35,0.52,0.01,5.83,12.09,,,,,,,,,,,,,,,,,,,,,,,,
33.0015,PB3-1.T1,4.04,0.07,18.06,0.27,0.76,0.05,0.06,0.01,4.47,8.28,,,,,,,,,,,,,,,,,,,,,,,,
33.0016,PB3-1.T1,0.82,0.02,22.02,0.39,1.16,0.10,0.74,0.02,26.85,5.99,,,,,,,,,,,,,,,,,,,,,,,,
33.0017,PB3-1.T1,4.36,0.13,8.57,0.25,0.99,0.10,0.08,0.00,1.97,6.37,,,,,,,,,,,,,,,,,,,,,,,,
33.0018,CV-19-07,0.96,0.04,19.76,0.70,0.29,0.06,0.16,0.00,20.58,5.60,,,,,,,,,,,,,,,,,,,,,,,,
33.0019,CV-19-07,1.06,0.04,10.04,0.27,0.20,0.09,0.12,0.01,9.47,3.42,,,,,,,,,,,,,,,,,,,,,,,,
33.002,CV-19-08,1.14,0.05,9.55,0.40,0.31,0.08,0.01,0.00,8.38,3.38,,,,,,,,,,,,,,,,,,,,,,,,
33.0021,CV-19-08,3.01,0.07,14.81,0.36,0.59,0.08,0.03,0.00,4.92,6.49,,,,,,,,,,,,,,,,,,,,,,,,
33.0022,CV-19-08,2.78,0.06,20.08,0.46,0.46,0.06,0.07,0.01,7.22,7.50,,,,,,,,,,,,,,,,,,,,,,,,
33.0023,CV-19-08,1.99,0.06,21.21,0.59,0.33,0.06,0.02,0.00,10.66,6.97,,,,,,,,,,,,,,,,,,,,,,,,
33.0024,CV-19-08,2.08,0.05,9.94,0.24,0.41,0.07,0.04,0.00,4.78,4.42,,,,,,,,,,,,,,,,,,,,,,,,
33.0025,CV-19-09,1.27,0.04,3.67,0.10,0.21,0.03,0.02,0.00,2.89,2.13,,,,,,,,,,,,,,,,,,,,,,,,
33.0026,CV-19-09,1.99,0.07,6.87,0.26,0.32,0.05,0.08,0.00,3.45,3.60,,,,,,,,,,,,,,,,,,,,,,,,
33.0027,CV-19-10,0.24,0.01,2.32,0.12,0.06,0.03,0.00,0.00,9.67,0.79,,,,,,,,,,,,,,,,,,,,,,,,
33.0028,CV-19-10,0.23,0.01,3.03,0.12,0.13,0.02,0.00,0.00,13.17,0.94,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0001,CAT-06(A):la,90.38,0.32,190.38,1.18,6808.32,,2.84,,2.11,135.12,,,,,,,,,,,,,,,,,,,,,,,,
34.0002,CAT-06(B):la,35.86,0.13,16.67,0.26,374.97,,1.77,,0.46,39.78,,,,,,,,,,,,,,,,,,,,,,,,
34.0003,CAT-06(C):la,78.51,0.28,80.78,0.56,3606.93,,1.87,,1.03,97.49,,,,,,,,,,,,,,,,,,,,,,,,
34.0004,CAT-06(D):la,47.01,0.17,41.04,0.34,296.72,,0.90,,0.87,56.66,,,,,,,,,,,,,,,,,,,,,,,,
34.0005,CAT-06(E):la,33.67,0.12,97.15,0.64,162.74,,2.21,,2.89,56.50,,,,,,,,,,,,,,,,,,,,,,,,
34.0006,CAT-13(A):la,32.80,0.12,0.35,0.02,0.60,,0.01,,0.01,32.88,,,,,,,,,,,,,,,,,,,,,,,,
34.0007,CAT-13(B):la,23.72,0.08,0.67,0.02,1.70,,0.01,,0.03,23.88,,,,,,,,,,,,,,,,,,,,,,,,
34.0008,CAT-13(C):la,6.82,0.06,0.15,0.02,0.61,,0.01,,0.02,6.86,,,,,,,,,,,,,,,,,,,,,,,,
34.0009,CAT-15(A):la,73.17,0.26,1.43,0.09,44.59,,0.45,,0.02,73.50,,,,,,,,,,,,,,,,,,,,,,,,
34.001,CAT-15(B):la,55.60,0.20,0.95,0.08,29.25,,0.38,,0.02,55.83,,,,,,,,,,,,,,,,,,,,,,,,
34.0011,CAT-15(C):la,73.58,0.26,6.73,0.17,123.13,,0.53,,0.09,75.16,,,,,,,,,,,,,,,,,,,,,,,,
34.0012,CAT-15(D):la,92.17,0.35,41.05,0.65,163.95,,0.70,,0.45,101.82,,,,,,,,,,,,,,,,,,,,,,,,
34.0013,CAT-15(E):la,35.34,0.37,60.47,0.82,87.14,,0.56,,1.71,49.55,,,,,,,,,,,,,,,,,,,,,,,,
34.0014,CAT-16(A):la,0.09,0.00,0.16,0.02,0.12,,0.02,,1.86,0.12,,,,,,,,,,,,,,,,,,,,,,,,
34.0015,CAT-16(B):la,0.21,0.01,0.15,0.02,0.07,,0.04,,0.71,0.24,,,,,,,,,,,,,,,,,,,,,,,,
34.0016,CAT-16(C):la,2.43,0.04,0.53,0.02,0.19,,0.02,,0.22,2.55,,,,,,,,,,,,,,,,,,,,,,,,
34.0017,CAT-17(A):la,68.62,0.24,1.38,0.03,15.57,,0.28,,0.02,68.95,,,,,,,,,,,,,,,,,,,,,,,,
34.0018,CAT-17(B):la,20.56,0.07,0.37,0.02,0.70,,0.10,,0.02,20.64,,,,,,,,,,,,,,,,,,,,,,,,
34.0019,CAT-17(C):la,78.72,0.28,4.30,0.07,13.89,,0.30,,0.05,79.73,,,,,,,,,,,,,,,,,,,,,,,,
34.002,CAT-17(D):la,19.36,0.07,0.56,0.03,1.12,,0.10,,0.03,19.49,,,,,,,,,,,,,,,,,,,,,,,,
34.0021,CAT-22(A):la,1137.77,8.13,69.52,3.18,1122.77,,227.31,,0.06,1154.11,,,,,,,,,,,,,,,,,,,,,,,,
34.0022,CAT-22(B):la,1256.52,4.41,97.85,2.11,1060.89,,250.11,,0.08,1279.51,,,,,,,,,,,,,,,,,,,,,,,,
34.0023,CAT-22(C):la,1138.57,6.64,70.51,2.88,1095.03,,228.37,,0.06,1155.14,,,,,,,,,,,,,,,,,,,,,,,,
34.0024,CAT-22(E):la,1405.12,4.93,114.41,2.41,957.25,,268.98,,0.08,1432.01,,,,,,,,,,,,,,,,,,,,,,,,
34.0025,CAT-23(A):la,5.73,0.08,0.83,0.04,0.22,,0.05,,0.15,5.92,,,,,,,,,,,,,,,,,,,,,,,,
34.0026,CAT-23(B):la,4.04,0.04,0.20,0.01,0.28,,0.04,,0.05,4.09,,,,,,,,,,,,,,,,,,,,,,,,
34.0027,CAT-23(C):la,5.27,0.09,0.46,0.04,0.26,,0.05,,0.09,5.38,,,,,,,,,,,,,,,,,,,,,,,,
34.0028,CAT-28(A):la,259.53,0.91,143.55,1.52,95.27,,4.42,,0.55,293.26,,,,,,,,,,,,,,,,,,,,,,,,
34.0029,CAT-28(B):la,12.93,0.05,0.39,0.02,3.10,,0.02,,0.03,13.02,,,,,,,,,,,,,,,,,,,,,,,,
34.003,CAT-28(C):la,50.41,0.18,4.72,0.07,9.87,,0.12,,0.09,51.52,,,,,,,,,,,,,,,,,,,,,,,,
34.0031,CAT-28(E):la,102.46,0.36,3.16,0.10,10.43,,0.40,,0.03,103.20,,,,,,,,,,,,,,,,,,,,,,,,
34.0032,CAT-30(A):la,20.36,0.07,0.29,0.03,1.71,,0.81,,0.01,20.43,,,,,,,,,,,,,,,,,,,,,,,,
34.0033,CAT-30(B):la,20.15,0.16,0.45,0.05,1.29,,0.66,,0.02,20.25,,,,,,,,,,,,,,,,,,,,,,,,
34.0034,CAT-30(C):la,40.37,0.14,0.57,0.03,3.60,,1.53,,0.01,40.50,,,,,,,,,,,,,,,,,,,,,,,,
34.0035,CAT-31(A):la,6.00,0.07,1.71,0.04,60.07,,0.10,,0.29,6.40,,,,,,,,,,,,,,,,,,,,,,,,
34.0036,CAT-31(B):la,6.39,0.10,1.36,0.05,45.13,,0.09,,0.21,6.71,,,,,,,,,,,,,,,,,,,,,,,,
34.0037,CAT-31(C):la,4.39,0.09,1.71,0.06,51.15,,0.08,,0.39,4.79,,,,,,,,,,,,,,,,,,,,,,,,
34.0038,CAT-31(E):la,7.07,0.07,2.34,0.05,138.92,,0.09,,0.33,7.62,,,,,,,,,,,,,,,,,,,,,,,,
34.0039,CAT-32(A):la,13.00,0.05,0.15,0.01,0.31,,0.23,,0.01,13.03,,,,,,,,,,,,,,,,,,,,,,,,
34.004,CAT-32(B):la,22.44,0.08,57.21,0.42,133.83,,0.54,,2.55,35.89,,,,,,,,,,,,,,,,,,,,,,,,
34.0041,CAT-32(C):la,16.33,0.06,2.78,0.05,5.75,,0.66,,0.17,16.99,,,,,,,,,,,,,,,,,,,,,,,,
34.0042,CAT-33(A):la,13.35,0.07,1.25,0.04,4.58,,0.22,,0.09,13.65,,,,,,,,,,,,,,,,,,,,,,,,
34.0043,CAT-33(B):la,13.26,0.05,1.19,0.03,7.28,,0.14,,0.09,13.54,,,,,,,,,,,,,,,,,,,,,,,,
34.0044,CAT-33(C):la,12.88,0.07,0.48,0.03,3.16,,0.19,,0.04,12.99,,,,,,,,,,,,,,,,,,,,,,,,
34.0045,CAT-33(E):la,58.90,0.21,150.15,1.14,515.91,,1.64,,2.55,94.19,,,,,,,,,,,,,,,,,,,,,,,,
34.0046,CAT-34(A):la,25.34,0.09,0.78,0.02,1.95,,0.26,,0.03,25.52,,,,,,,,,,,,,,,,,,,,,,,,
34.0047,CAT-34(B):la,24.06,0.11,0.30,0.04,0.43,,0.36,,0.01,24.13,,,,,,,,,,,,,,,,,,,,,,,,
34.0048,CAT-34(C):la,24.80,0.09,0.26,0.03,0.34,,0.40,,0.01,24.86,,,,,,,,,,,,,,,,,,,,,,,,
34.0049,CAT-34(D):la,12.13,0.07,0.24,0.02,0.18,,0.09,,0.02,12.19,,,,,,,,,,,,,,,,,,,,,,,,
34.005,CAT-35(A):la,10.03,0.06,1.32,0.04,2.67,,0.22,,0.13,10.34,,,,,,,,,,,,,,,,,,,,,,,,
34.0051,CAT-35(B):la,12.72,0.10,0.51,0.03,0.99,,0.35,,0.04,12.84,,,,,,,,,,,,,,,,,,,,,,,,
34.0052,CAT-35(C):la,14.40,0.05,0.39,0.02,0.89,,0.39,,0.03,14.49,,,,,,,,,,,,,,,,,,,,,,,,
34.0053,CAT-35(E):la,17.53,0.06,1.91,0.04,7.67,,0.81,,0.11,17.98,,,,,,,,,,,,,,,,,,,,,,,,
34.0054,CAT-37(A):la,19.11,0.13,2.63,0.07,9.49,,0.24,,0.14,19.73,,,,,,,,,,,,,,,,,,,,,,,,
34.0055,CAT-37(B):la,38.74,0.14,4.76,0.09,18.04,,0.36,,0.12,39.86,,,,,,,,,,,,,,,,,,,,,,,,
34.0056,CAT-37(C):la,16.13,0.24,1.91,0.10,2.74,,0.25,,0.12,16.57,,,,,,,,,,,,,,,,,,,,,,,,
34.0057,CAT-37(D):la,15.27,0.17,3.38,0.10,12.99,,0.17,,0.22,16.06,,,,,,,,,,,,,,,,,,,,,,,,
34.0058,CAT-39(A):la,27.62,0.23,0.91,0.08,0.91,,0.24,,0.03,27.83,,,,,,,,,,,,,,,,,,,,,,,,
34.0059,CAT-39(B):la,34.38,0.12,0.33,0.01,0.68,,0.31,,0.01,34.46,,,,,,,,,,,,,,,,,,,,,,,,
34.006,CAT-39(C):la,35.94,0.13,0.42,0.02,0.84,,0.33,,0.01,36.04,,,,,,,,,,,,,,,,,,,,,,,,
34.0061,CAT-39(E):la,30.68,0.11,0.46,0.03,0.75,,0.26,,0.02,30.78,,,,,,,,,,,,,,,,,,,,,,,,
34.0062,CAT-40(A):la,121.21,0.43,144.52,0.99,290.57,,2.27,,1.19,155.18,,,,,,,,,,,,,,,,,,,,,,,,
34.0063,CAT-40(B):la,25.01,0.12,0.27,0.04,0.61,,0.23,,0.01,25.07,,,,,,,,,,,,,,,,,,,,,,,,
34.0064,CAT-40(C):la,33.21,0.12,2.13,0.05,4.29,,1.17,,0.06,33.72,,,,,,,,,,,,,,,,,,,,,,,,
34.0065,CAT-40(D):la,21.57,0.08,0.23,0.03,0.52,,0.22,,0.01,21.63,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0001,AM10-Km152-AM2,0.57,,38.38,,,,0.79,,67.83,9.59,,,,,,,,,,,,,,,,,,,,,,,,
0.0002,AM10-Km152C/G,0.87,,38.12,,,,0.97,,43.97,9.83,,,,,,,,,,,,,,,,,,,,,,,,
0.0003,AM-24-Km12-AM2SIG,0.39,,17.84,,,,0.62,,46.33,4.58,,,,,,,,,,,,,,,,,,,,,,,,
0.0004,Balbina4-Km80C/Goetita,1.99,,104.60,,,,1.63,,52.67,26.57,,,,,,,,,,,,,,,,,,,,,,,,
0.0005,Balbina4-Km80S/Goet,52.07,,8915.86,,,,141.51,,171.21,2147.30,,,,,,,,,,,,,,,,,,,,,,,,
0.0006,Balbina-AM5-Km80,3.43,,350.71,,,,38.63,,102.38,85.84,,,,,,,,,,,,,,,,,,,,,,,,
0.0007,BR174-Km108C1G,392.40,,119.39,,,,42.09,,0.30,420.46,,,,,,,,,,,,,,,,,,,,,,,,
0.0008,Manaus1,2.35,,51.71,,,,1.61,,22.00,14.50,,,,,,,,,,,,,,,,,,,,,,,,
0.0009,Manaus2,5.63,,110.12,,,,0.13,,19.55,31.51,,,,,,,,,,,,,,,,,,,,,,,,
0.001,Manaus3,9.29,,153.04,,,,6.45,,16.48,45.25,,,,,,,,,,,,,,,,,,,,,,,,
0.0011,BYO3a,3.08,0.05,0.17,0.02,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0012,BYO3b,2.55,0.04,0.27,0.02,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0013,BYO3c,2.42,0.04,0.04,0.02,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0014,BYO3d,1.63,0.03,0.14,0.01,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0015,CMSa,14.02,0.05,0.04,0.01,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0016,CMSb,16.59,0.06,0.33,0.02,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0017,CMSc,14.84,0.05,0.03,0.01,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0018,CMSd,14.42,0.05,0.07,0.01,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0019,ICABR-01/1,2.70,,53.64,,,,0.34,,19.85,15.31,,,,,,,,,,,,,,,,,,,,,,,,
0.002,ICABR-01/2,5.85,,187.75,,,,10.92,,32.08,49.97,,,,,,,,,,,,,,,,,,,,,,,,
0.0021,ICABR-01/2 - P3a (B),2.44,,111.46,,,,1.12,,45.61,28.64,,,,,,,,,,,,,,,,,,,,,,,,
0.0022,ICABR-01/2 - P3a (N),3.08,,102.93,,,,1.87,,33.45,27.26,,,,,,,,,,,,,,,,,,,,,,,,
0.0023,ICABR-01/7a,2.84,,33.99,,,,0.98,,11.95,10.83,,,,,,,,,,,,,,,,,,,,,,,,
0.0024,ICABR-01/7b,6.32,,40.73,,,,2.31,,6.44,15.89,,,,,,,,,,,,,,,,,,,,,,,,
0.0025,ICABR-01/8 - P2-1 (B),3.66,,110.33,,,,2.06,,30.11,29.59,,,,,,,,,,,,,,,,,,,,,,,,
0.0026,ICABR-01/9 - P1b-1 (B),3.10,,74.41,,,,1.95,,24.00,20.59,,,,,,,,,,,,,,,,,,,,,,,,
0.0027,ICABR-01/9 - P1b-2 (N),6.30,,91.37,,,,2.01,,14.51,27.77,,,,,,,,,,,,,,,,,,,,,,,,
0.0028,ICABR-02/1,8.85,,161.21,,,,4.20,,18.22,46.73,,,,,,,,,,,,,,,,,,,,,,,,
0.0029,ICABR-02/1 - P3a-1 (B),3.08,,73.45,,,,1.99,,23.86,20.34,,,,,,,,,,,,,,,,,,,,,,,,
0.003,ICABR-02/1 - P3a-2,3.34,,92.63,,,,1.95,,27.76,25.10,,,,,,,,,,,,,,,,,,,,,,,,
0.0031,ICABR-02/1 - P3a-3,3.17,,86.39,,,,2.15,,27.26,23.47,,,,,,,,,,,,,,,,,,,,,,,,
0.0032,ICABR-02/1 - P3a4,3.83,,84.08,,,,1.95,,21.97,23.59,,,,,,,,,,,,,,,,,,,,,,,,
0.0033,ICABR-02/1 - P3a-5 (N),3.47,,130.49,,,,2.15,,37.56,34.14,,,,,,,,,,,,,,,,,,,,,,,,
0.0034,ICABR-02/2 - P1a-1 (B),2.42,,90.55,,,,2.21,,37.38,23.70,,,,,,,,,,,,,,,,,,,,,,,,
0.0035,ICABR-02/2 - P1a-2,2.73,,85.16,,,,1.41,,31.19,22.74,,,,,,,,,,,,,,,,,,,,,,,,
0.0036,ICABR-02/2 - P1a-3,2.60,,95.80,,,,2.32,,36.78,25.12,,,,,,,,,,,,,,,,,,,,,,,,
