RefID,SampleID,SampleName,LaboratoryCode,Calculated_Age_(Ma),±_CalcAge,Corrected_Age_(Ma)_[5-15%_or_4/3],±_CorrAge
4,4.0165,06BR002-ARA2-04,,2.91,0.30,3.20,0.32
4,4.0166,06BR002-ARA2-04,,2.88,0.30,3.17,0.32
4,4.0167,CAR0403 - c(b) - 1,,10.04,1.00,11.05,1.10
4,4.0168,CAR0403 - c(b) - 2,,20.00,2.00,22.00,2.20
4,4.0169,CAR0403 - c(b) - 3,,9.29,0.93,10.22,1.02
4,4.017,06BR036BRE-1,,8.94,0.96,9.84,0.98
4,4.0171,06BR036BRE-2,,8.35,0.92,9.18,0.92
4,4.0172,06BR036BRE-03,,8.03,0.80,8.83,0.88
4,4.0173,06BR113MAT-3,,4.71,0.53,5.18,0.52
4,4.0174,06BR113MAT-4,,9.78,1.31,10.76,1.08
4,4.0175,06BR038IMA-1,,3.49,0.46,3.84,0.38
,,,,,,,
5,5.0001,Ax-2x,,2.80,0.06,2.80,0.06
5,5.0002,Ax-2y,,2.80,0.06,2.80,0.06
5,5.0003,AX-2-D,,5.50,0.11,5.50,0.11
5,5.0004,AX-2-E,,5.20,0.10,5.20,0.10
5,5.0005,Ax-2,,0.60,0.01,0.60,0.01
5,5.0006,AX-2-F,,0.90,0.02,0.90,0.02
,,,,,,,
6,6.0001,PR0916 chao_2,09LJX,0.54,,0.59,0.06
6,6.0002,PR0916 chao_2,09LJY,0.87,,0.96,0.10
6,6.0003,PR0917,09LJZ,0.05,,0.06,0.01
6,6.0004,PR0917,09LKA,0.02,,0.03,0.00
6,6.0005,PR0919,09LKB,0.08,,0.09,0.01
6,6.0006,PR0919,09LKC,0.16,,0.17,0.02
6,6.0007,PR0920_1 humico,09LKD,0.62,,0.68,0.07
6,6.0008,PR0920_1 humico,09LKE,1.65,,1.82,0.18
6,6.0009,PR0920_2 humico,09LKF,2.91,,3.20,0.32
6,6.001,PR0920_2 humico,09LKG,0.26,,0.28,0.03
6,6.0011,PR0908.2,09LJV,114.98,,126.48,12.65
6,6.0012,PR0908.2,09LJW,0.45,,0.50,0.05
6,6.0013,PR0908.2_2_1,09MPP,0.57,,0.63,0.06
6,6.0014,PR0908.2_2_2,09MPQ,8.60,,9.46,0.95
6,6.0015,PR0930E_1,09MPL,1.60,,1.76,0.18
6,6.0016,PR0930E_2,09MPM,2.38,,2.62,0.26
6,6.0017,PR0721G_1,08COL,5.40,,5.94,0.59
6,6.0018,PR0721G_2,08COM,1.08,,1.19,0.12
6,6.0019,PR0721G_3,08CON,1.38,,1.51,0.15
6,6.002,PR0721B1_1,08COO,0.38,,0.41,0.04
6,6.0021,PR0721B1_2,08COP,0.35,,0.39,0.04
6,6.0022,PR0721B1_3,08COQ,0.40,,0.44,0.04
6,6.0023,PR0721E_1,08COR,1.75,,1.92,0.19
6,6.0024,PR0721E_2,08COS,1.51,,1.66,0.17
6,6.0025,PR0721E_3,08COT,2.56,,2.81,0.28
6,6.0026,PR0721C1B_1,08COU,0.79,,0.87,0.09
6,6.0027,PR0721C1B_2,08COV,0.62,,0.68,0.07
6,6.0028,PR0721C1B_3,08COW,0.72,,0.79,0.08
6,6.0029,PR0721BD_1,08COX,0.46,,0.51,0.05
6,6.003,PR0721BD_2,08COY,0.60,,0.66,0.07
6,6.0031,PR0721BD_3,08COZ,0.65,,0.71,0.07
6,6.0032,PR0721B1B_1,08CPA,1.02,,1.12,0.11
6,6.0033,PR0721B1B_2,08CPB,1.01,,1.11,0.11
6,6.0034,PR0721B1B_3,08CPC,0.86,,0.95,0.09
6,6.0035,PR0721B2A_1,08CPD,0.70,,0.77,0.08
6,6.0036,PR0721B2A_2,08CPE,0.72,,0.80,0.08
6,6.0037,PR0721B2A_3,08CPF,0.90,,0.99,0.10
6,6.0038,PR0721C1A_1,08CPG,0.75,,0.83,0.08
6,6.0039,PR0721B2A_1,08CPH,0.73,,0.80,0.08
6,6.004,PR0721C1A_3,08CPI,0.89,,0.98,0.10
6,6.0041,PR0721C2B1_1,08CPJ,6.21,,6.84,0.68
6,6.0042,PR0721C2B1_2,08CPK,6.28,,6.91,0.69
6,6.0043,PR0721C2B1_3,08CPL,6.43,,7.07,0.71
6,6.0044,PR0721C5E_1,08CPM,0.72,,0.79,0.08
6,6.0045,PR0721C5E_2,08CPN,0.78,,0.85,0.09
6,6.0046,PR0721C5E_3,08CPO,0.73,,0.80,0.08
6,6.0047,PR0721H1_1,08CPP,2.29,,2.52,0.25
6,6.0048,PR0721H1_2,08CPQ,3.50,,3.85,0.38
6,6.0049,PR0721H1_3,08CPR,2.45,,2.69,0.27
6,6.005,PR0721H2_1,08CPS,0.89,,0.98,0.10
6,6.0051,PR0721H2_2,08CPT,1.12,,1.23,0.12
6,6.0052,PR0721H2_3,08CPU,1.00,,1.10,0.11
6,6.0053,PR0721B2A_2,08CPX,0.70,,0.77,0.08
6,6.0054,PR0721B2A_3,08CPY,0.56,,0.62,0.06
6,6.0055,PR0721F1_1,08CPZ,0.72,,0.79,0.08
6,6.0056,PR0721F1_2,08CQA,0.73,,0.80,0.08
6,6.0057,PR0721F1_3,08CQB,0.51,,0.56,0.06
